ID,Cluster
G000178,0
G000903,0
G005313,1
G011644,0
G007198,1
G010869,0
G000458,0
G011627,0
G004011,1
G007140,1
G007984,0
G006052,1
G000064,0
G009888,1
G004241,1
G005062,1
G009158,0
G003475,1
G003188,1
G012690,0
G001374,0
G012057,0
G011257,0
G007832,0
G005121,1
G001966,0
G004339,1
G000380,0
G011725,0
G002338,1
G010081,0
G003329,1
G006876,1
G003922,1
G003509,1
G013016,0
G008787,0
G008517,0
G001490,0
G013587,0
G000796,0
G002728,1
G008877,0
G003209,1
G011268,0
G009756,0
G006680,1
G012691,0
G012917,0
G005853,1
G012866,0
G001660,0
G001635,0
G012020,0
G011829,0
G012771,0
G009366,0
G000009,0
G005772,1
G004078,1
G008188,0
G001689,0
G001744,0
G005437,1
G013545,0
G000904,0
G011242,0
G009843,0
G011402,0
G002367,1
G011227,0
G006998,1
G007365,1
G003734,1
G002875,1
G004554,1
G006787,1
G003799,1
G007631,0
G010530,0
G001954,0
G003932,1
G010101,0
G002456,1
G009877,1
G003746,1
G003560,1
G002013,0
G006006,1
G007526,0
G002819,1
G010382,0
G013461,0
G002343,1
G011505,0
G002320,1
G010652,0
G010865,0
G008164,0
G012436,0
G012581,0
G008529,0
G012373,0
G009119,0
G006214,1
G004095,1
G003434,1
G009273,0
G001800,0
G013154,0
G002233,1
G004468,1
G005728,1
G007926,0
G006211,1
G005986,1
G001607,0
G006875,1
G004640,1
G000748,0
G004683,1
G012463,0
G009600,0
G004937,1
G007255,1
G008874,0
G009025,0
G004922,1
G006235,1
G013258,0
G013321,0
G007712,0
G006126,1
G004541,1
G004340,1
G011513,0
G003600,1
G007319,1
G003496,1
G003541,1
G011184,0
G010587,0
G005432,1
G002082,1
G011595,0
G008749,0
G010708,0
G008901,0
G006843,1
G012582,0
G000474,0
G011055,0
G010465,0
G011643,0
G013043,0
G008015,0
G004920,1
G001808,0
G008881,0
G000684,0
G010492,0
G012049,0
G002865,1
G009196,0
G011502,0
G004302,1
G006889,1
G003818,1
G002035,0
G007609,0
G002100,0
G002502,1
G000587,0
G010702,0
G013442,0
G005512,0
G005876,1
G012613,0
G006513,1
G012047,0
G001924,0
G010876,0
G011712,0
G000569,0
G013574,0
G001531,0
G007672,0
G004926,1
G007797,0
G008240,0
G007979,0
G011807,0
G004886,1
G009188,0
G011581,0
G007454,0
G008890,0
G004961,1
G006581,1
G013576,0
G008078,0
G009026,0
G009819,0
G004904,1
G008774,0
G009314,0
G010325,0
G009108,0
G006148,1
G002792,1
G005377,1
G013010,0
G002178,0
G004534,1
G010120,0
G010370,0
G000048,0
G009539,0
G002537,1
G002113,1
G000812,0
G002632,1
G011999,0
G012910,0
G011512,0
G005170,1
G007147,1
G000519,0
G011575,0
G009857,0
G013568,0
G013148,0
G010008,1
G003523,1
G012317,0
G007250,1
G001576,0
G008619,0
G012897,0
G006907,1
G003669,1
G002151,1
G009938,0
G012793,0
G011826,0
G000386,0
G006193,1
G010843,0
G012347,0
G006863,1
G011446,0
G006746,1
G010836,0
G013111,0
G010909,0
G009914,0
G008076,0
G001749,0
G003080,1
G006881,1
G011296,0
G004636,1
G008108,0
G007423,1
G001483,0
G007225,1
G003890,1
G010924,0
G010064,1
G007488,0
G001054,0
G002120,1
G007895,0
G001625,0
G008095,0
G007041,1
G013188,0
G003659,1
G005845,1
G011515,0
G012471,0
G004013,1
G006351,1
G010630,0
G005426,1
G003422,1
G008769,0
G004458,1
G007325,1
G001122,0
G004247,1
G012005,0
G010310,0
G008315,0
G001394,0
G007607,0
G002055,1
G010515,0
G010105,0
G004210,1
G009692,1
G004949,1
G004623,1
G006007,1
G002158,1
G012987,0
G008766,0
G009437,0
G005041,1
G007848,0
G000971,0
G004059,1
G003379,1
G002407,1
G003624,1
G000389,0
G007034,1
G006215,1
G010299,0
G000316,0
G010395,0
G006886,1
G012772,0
G012129,0
G004296,1
G007729,0
G000606,0
G009053,0
G005827,1
G001965,0
G004396,1
G002526,1
G010211,0
G006558,1
G009101,0
G001115,0
G007530,0
G009433,0
G013182,0
G009569,0
G002877,1
G007809,0
G012955,0
G012934,0
G011718,0
G001112,0
G009752,0
G008204,0
G000249,0
G009858,1
G007477,0
G005386,1
G000697,0
G005643,0
G004456,1
G003222,1
G005861,1
G009070,0
G000071,0
G011469,0
G003479,1
G013553,0
G006352,1
G010220,0
G007421,1
G009027,0
G011813,0
G001218,0
G001769,0
G002949,1
G000042,0
G012650,0
G007701,0
G006062,1
G008389,0
G009591,0
G005611,1
G007979,0
G010236,0
G005156,1
G001770,0
G010765,0
G011504,0
G005514,1
G009807,1
G009928,0
G008274,0
G012569,0
G013597,0
G009061,1
G009072,0
G005504,0
G009120,1
G005196,1
G011276,0
G003704,1
G011342,0
G012143,0
G001599,0
G001618,0
G006244,1
G004304,1
G003032,1
G007812,0
G002627,1
G000218,0
G013296,0
G006760,1
G006498,1
G004534,1
G002767,1
G013048,0
G009160,0
G005793,1
G011021,0
G012107,0
G011703,0
G012838,0
G008170,0
G006995,1
G000901,0
G000185,0
G012041,0
G009142,0
G007707,0
G003300,1
G009038,0
G012855,0
G000593,0
G009318,0
G011952,0
G004463,1
G001115,0
G002129,0
G000539,0
G007075,1
G001936,0
G002752,1
G008441,0
G006704,1
G004827,1
G012529,0
G010348,0
G011190,0
G000395,0
G010033,1
G008448,0
G008515,0
G012777,0
G002168,1
G002665,1
G009341,0
G005325,1
G008275,0
G009774,1
G004116,1
G007874,0
G008532,0
G010833,0
G006699,1
G002910,1
G010676,0
G002597,1
G010845,0
G010439,0
G009895,0
G001262,0
G004731,1
G004402,1
G013344,0
G000466,0
G001454,0
G011738,0
G000114,0
G004901,1
G008207,0
G007503,0
G010933,0
G009290,1
G000036,0
G010022,1
G007671,0
G010562,0
G006476,1
G009631,0
G002449,1
G008675,0
G002190,1
G003520,1
G000869,0
G006904,1
G003071,1
G004124,1
G005889,1
G002352,1
G007959,0
G002086,0
G006499,1
G012307,0
G012233,0
G012804,0
G002313,1
G005319,1
G009640,0
G010862,0
G001476,0
G006076,1
G005805,1
G009316,0
G004953,1
G006221,1
G004014,1
G011753,0
G011033,0
G006848,1
G005479,1
G011213,0
G004686,1
G001784,0
G011025,0
G008639,0
G012079,0
G012088,0
G006766,1
G006022,1
G011341,0
G001419,0
G005029,1
G002821,1
G012811,0
G009599,0
G002994,1
G010467,0
G007574,0
G012163,0
G005338,1
G013462,0
G007518,0
G006138,1
G002755,1
G013184,0
G003856,1
G006804,1
G007066,1
G001027,0
G002715,1
G006959,1
G011071,0
G012418,0
G002440,1
G010478,0
G012435,0
G012830,0
G005633,1
G003091,1
G001003,0
G002088,1
G006689,1
G008181,0
G010408,0
G008543,0
G007096,1
G004193,1
G005146,1
G004739,1
G001347,0
G000168,0
G002535,1
G000851,0
G005715,1
G013193,0
G006196,1
G013051,0
G013355,0
G011832,0
G003636,1
G011209,0
G006754,1
G008296,0
G013175,0
G002141,1
G005275,1
G006030,1
G007200,1
G006953,1
G007502,0
G003419,1
G005682,1
G010636,0
G003706,1
G010499,0
G009308,1
G011179,0
G001200,0
G004537,1
G006175,1
G000248,0
G004890,1
G005358,1
G001594,0
G007262,1
G008442,0
G004610,1
G000512,0
G005767,1
G004630,1
G008837,0
G004769,1
G006903,1
G002663,1
G005689,1
G006891,1
G012828,0
G008615,0
G013415,0
G011210,0
G002406,1
G004973,1
G011318,0
G000136,0
G000432,0
G008157,0
G010691,0
G013241,0
G012952,0
G003839,1
G008028,0
G005702,1
G011275,0
G003435,1
G009947,1
G011888,0
G001494,0
G006928,1
G001352,0
G008676,0
G005354,1
G011737,0
G002302,1
G003316,1
G005220,1
G009617,0
G009989,1
G009751,0
G004408,1
G003129,1
G008974,0
G004891,1
G003466,1
G003059,1
G011736,0
G011583,0
G006757,1
G004808,1
G002020,0
G008132,0
G004194,1
G008553,0
G011797,0
G000938,0
G005928,1
G000834,0
G012411,0
G011002,0
G009203,0
G000873,0
G001845,0
G011550,0
G006388,1
G001176,0
G007174,1
G009710,1
G012514,0
G006046,1
G009854,1
G008564,0
G001084,0
G012983,0
G011191,0
G013135,0
G007121,1
G010288,0
G004054,1
G010062,1
G012528,0
G000412,0
G001198,0
G003066,1
G011621,0
G011048,0
G010812,0
G004171,1
G007414,1
G011334,0
G000721,0
G007078,1
G011015,0
G007189,1
G001580,0
G012618,0
G011282,0
G008215,0
G006272,1
G010112,0
G005901,1
G008702,1
G011877,0
G008424,0
G013015,0
G003718,1
G000300,0
G011498,0
G013127,0
G007269,1
G012497,0
G007299,1
G007150,1
G008328,0
G013450,0
G005713,1
G013238,0
G007657,0
G006386,1
G011437,0
G009835,0
G013567,0
G012757,0
G009986,1
G007201,1
G013085,0
G001191,0
G008047,0
G010403,0
G010366,0
G000120,0
G011488,0
G003943,1
G009414,1
G012247,0
G012488,0
G011267,0
G011950,0
G008189,0
G010653,0
G013531,0
G012756,0
G010117,0
G002349,1
G000658,0
G000124,0
G002456,1
G012907,0
G008281,0
G003345,1
G010008,1
G004297,1
G004948,1
G009621,1
G010800,0
G005956,1
G004020,1
G001327,0
G000705,0
G011291,0
G009773,0
G002454,1
G006625,1
G008650,0
G005749,1
G009021,0
G002488,1
G000151,0
G008117,0
G010781,0
G011528,0
G005971,1
G005513,1
G012602,0
G002474,1
G003703,1
G006396,1
G004321,1
G010025,1
G010785,0
G009235,0
G002146,0
G012426,0
G005441,1
G013541,0
G001262,0
G005404,1
G012159,0
G004257,1
G012241,0
G012869,0
G003990,1
G003412,1
G012417,0
G008879,0
G011133,0
G008911,0
G001431,0
G011111,0
G005035,1
G003820,1
G010296,0
G002981,1
G002237,1
G009058,1
G006909,1
G002866,1
G007143,1
G011628,0
G000312,0
G000034,0
G005166,1
G005782,1
G010526,0
G010839,0
G003205,1
G005585,1
G004852,1
G009351,0
G004830,1
G006455,1
G000926,0
G005020,1
G006096,1
G000909,0
G002596,1
G007380,1
G004106,1
G001745,0
G009064,0
G008789,0
G006880,1
G004169,1
G003252,1
G002885,1
G002880,1
G011216,0
G013277,0
G013446,0
G003795,1
G000765,0
G000112,0
G002630,1
G001086,0
G003596,1
G003296,1
G012403,0
G009791,1
G006693,1
G000979,0
G008219,0
G013608,0
G008779,0
G002925,1
G001587,0
G009619,0
G000051,0
G009268,0
G002271,0
G004443,1
G012194,0
G004644,1
G003892,1
G010763,0
G012406,0
G010995,0
G008938,0
G001409,0
G004455,1
G005373,1
G007589,0
G008953,0
G008824,0
G009684,1
G009451,1
G003593,1
G006028,1
G002335,1
G002612,1
G008356,0
G009223,0
G005583,0
G003618,1
G007953,0
G005405,1
G002681,1
G008656,0
G006671,1
G009738,1
G012856,0
G004230,1
G006803,1
G007541,0
G012465,0
G000397,0
G008396,0
G002586,1
G012540,0
G012628,0
G007853,0
G007251,1
G007079,1
G004581,1
G011706,0
G001600,0
G005844,1
G000931,0
G006473,1
G012718,0
G000818,0
G006573,1
G000435,0
G007919,0
G003195,1
G001036,0
G004354,1
G012264,0
G006135,1
G013118,0
G000201,0
G008500,0
G004986,1
G008659,0
G005100,1
G008882,0
G012400,0
G000252,0
G000612,0
G002985,1
G001513,0
G007672,0
G009538,0
G006437,1
G011555,0
G003976,1
G007079,1
G008279,0
G011978,0
G000150,0
G001702,0
G010306,0
G003577,1
G004227,1
G005359,1
G012422,0
G001796,0
G006587,1
G009020,0
G005141,1
G011849,0
G001403,0
G003747,1
G011672,0
G000764,0
G011622,0
G011166,0
G007801,0
G010724,0
G006728,1
G009681,0
G010719,0
G008082,0
G011290,0
G009689,0
G004955,1
G013021,0
G004348,1
G008185,0
G013100,0
G011096,0
G002677,1
G008255,0
G006142,1
G009491,1
G004094,1
G000084,0
G006085,1
G003315,1
G007634,0
G009842,1
G004694,1
G001622,0
G012985,0
G003335,1
G004111,1
G012286,0
G012515,0
G003376,1
G000430,0
G007260,1
G001724,0
G008962,0
G005217,1
G005149,1
G011238,0
G008184,0
G012097,0
G009461,0
G004266,1
G003449,1
G007922,0
G005590,1
G003685,1
G004289,1
G001958,0
G000294,0
G011377,0
G004334,1
G012763,0
G008380,0
G006508,1
G000638,0
G003895,1
G003528,1
G000654,0
G009364,0
G011027,0
G005552,1
G007855,0
G003609,1
G009532,1
G007746,0
G002202,1
G011587,0
G013212,0
G005557,0
G013262,0
G001476,0
G002997,1
G009965,1
G000480,0
G002808,1
G013588,1
G003483,1
G005401,1
G000104,0
G006033,1
G012125,0
G001158,0
G008426,0
G012730,0
G001384,0
G003882,1
G010743,0
G009759,0
G003910,1
G008421,0
G013513,0
G000648,0
G009402,1
G011857,0
G008560,0
G011872,0
G002484,1
G001458,0
G011174,0
G002391,1
G009951,1
G008694,0
G011883,0
G010548,0
G003843,1
G009202,1
G008611,0
G012849,0
G005495,1
G010957,0
G007137,1
G006743,1
G013339,0
G008325,0
G000544,0
G004190,1
G001945,0
G009259,0
G007749,0
G013012,0
G009673,0
G006940,1
G002747,1
G002405,1
G007581,0
G007734,0
G010131,0
G006453,1
G000742,0
G008516,0
G008020,0
G000016,0
G009470,0
G008252,0
G006077,1
G003121,1
G009876,1
G000334,0
G003693,1
G006932,1
G011324,0
G011501,0
G003707,1
G012010,0
G009384,0
G000715,0
G003801,1
G007622,0
G003446,1
G007478,0
G007279,1
G010616,0
G003489,1
G007774,0
G010217,0
G003835,1
G003018,1
G012456,0
G011299,0
G009080,0
G007253,1
G000840,0
G009227,0
G011600,0
G012052,0
G006546,1
G008143,0
G011680,0
G005218,1
G009518,0
G004221,1
G003025,1
G004787,1
G006119,1
G000745,0
G007827,0
G001471,0
G005647,0
G000933,0
G001143,0
G004411,1
G011197,0
G002376,1
G010290,0
G008926,0
G007224,1
G012751,0
G002096,1
G013515,0
G004245,1
G008538,1
G011812,0
G010500,0
G009731,0
G002678,1
G012891,0
G010990,0
G007249,1
G000531,0
G006635,1
G011843,0
G007090,1
G005937,1
G004063,1
G005039,1
G009420,0
G003078,1
G004413,1
G006166,1
G012122,0
G011853,0
G008754,0
G004717,1
G004521,1
G013119,0
G009732,1
G007232,1
G012115,0
G012231,0
G006179,1
G010979,0
G009590,0
G001298,0
G013201,0
G008140,0
G007640,0
G010770,0
G012896,0
G003300,1
G000896,0
G010116,0
G013506,0
G011964,0
G006706,1
G000829,0
G006885,1
G005615,1
G001227,0
G006278,1
G007815,0
G007627,0
G013317,0
G008310,0
G011022,0
G011509,0
G008172,0
G009578,0
G004191,1
G000536,0
G008102,0
G004330,1
G001184,0
G007956,0
G008673,0
G002956,1
G008804,0
G009771,1
G009323,0
G003887,1
G011697,0
G009623,0
G006598,1
G011483,0
G001179,0
G002513,1
G013123,0
G011943,0
G010187,0
G002920,1
G010402,0
G007426,1
G013124,0
G003423,1
G003838,1
G011732,0
G002993,1
G001044,0
G007909,0
G006685,1
G005175,1
G000374,0
G007496,0
G013534,0
G007560,0
G002361,1
G004815,1
G005107,1
G011051,0
G002311,1
G012303,0
G005997,1
G008016,0
G012443,0
G004732,1
G001492,0
G004218,1
G010638,0
G012550,0
G000020,0
G008129,0
G007935,0
G012359,0
G002615,1
G004703,1
G003283,1
G000901,0
G007705,0
G013072,0
G000186,0
G001079,0
G010173,0
G002817,1
G008618,0
G007268,1
G007457,0
G013331,0
G008148,0
G005285,1
G009416,1
G002486,1
G003442,1
G011350,0
G010180,0
G010025,1
G008130,0
G011482,0
G005569,1
G002859,1
G011810,0
G005564,1
G001513,0
G011998,0
G002445,1
G000677,0
G003464,1
G005822,1
G007945,0
G000922,0
G007321,1
G001183,0
G003370,1
G008853,0
G000222,0
G000559,0
G012609,0
G001328,0
G008038,0
G003276,1
G003234,1
G011301,0
G005376,1
G009894,1
G008661,0
G006204,1
G010761,0
G006779,1
G003533,1
G011468,0
G008762,0
G012925,0
G012713,0
G008505,0
G001666,0
G006650,1
G002215,1
G009488,0
G000725,0
G007303,1
G013243,0
G012961,0
G001154,0
G004396,1
G007723,0
G012558,0
G000448,0
G001792,0
G011118,0
G009726,0
G011742,0
G012266,0
G000945,0
G006267,1
G007235,1
G000876,0
G013269,0
G003828,1
G005341,1
G012903,0
G001316,0
G004741,1
G012054,0
G011428,0
G012945,0
G012060,0
G005380,1
G012332,0
G012210,0
G003373,1
G004878,1
G004217,1
G005624,1
G003060,1
G007483,0
G001627,0
G006287,1
G006102,1
G001238,0
G007842,0
G012882,0
G002901,1
G006078,1
G007989,0
G013137,0
G001356,0
G000980,0
G001098,0
G012083,0
G001019,0
G012126,0
G001706,0
G004871,1
G006110,1
G008507,0
G003992,1
G010167,0
G009512,0
G007673,0
G011411,0
G010414,0
G011959,0
G010857,0
G002068,1
G001509,0
G004041,1
G008825,0
G002040,0
G011404,0
G004337,1
G001603,0
G000322,0
G002272,1
G011355,0
G010480,0
G002989,1
G009382,0
G009779,0
G003834,1
G007334,1
G005533,1
G011878,0
G011388,0
G011493,0
G000264,0
G007594,0
G011130,0
G012003,0
G005334,1
G000218,0
G009286,0
G006042,1
G012501,0
G003847,1
G009879,1
G003774,1
G005688,1
G004388,1
G002345,1
G007697,0
G009758,0
G008297,0
G010514,0
G004607,1
G005968,1
G003942,1
G006511,1
G011095,0
G002228,1
G004227,1
G006425,1
G009234,0
G003298,1
G008880,1
G007758,0
G008080,0
G009613,0
G004672,1
G002656,1
G008662,0
G005848,1
G003022,1
G004442,1
G008710,0
G000968,0
G001946,0
G009309,0
G006087,1
G000096,0
G002358,1
G007583,0
G009788,1
G000220,0
G012433,0
G000060,0
G013369,0
G004746,1
G012685,0
G005884,1
G008711,0
G000462,0
G007626,0
G006474,1
G009657,1
G012897,0
G004520,1
G010859,0
G011434,0
G012931,0
G000399,0
G012073,0
G012625,0
G010657,0
G009229,0
G009381,0
G010298,0
G009816,0
G007678,0
G006661,1
G008068,0
G008724,0
G005943,1
G000331,0
G001787,0
G000813,0
G001979,0
G003323,1
G000614,0
G001283,0
G006721,1
G002367,1
G002754,1
G012614,0
G005221,1
G011722,0
G013280,0
G001744,0
G005660,1
G003885,1
G011837,0
G002457,1
G010718,0
G004105,1
G003016,1
G003899,1
G008512,0
G012781,0
G002030,0
G005438,1
G005329,1
G007047,1
G008413,0
G004673,1
G000336,0
G005101,1
G008799,0
G006943,1
G008395,0
G003155,1
G004897,1
G002532,1
G006729,1
G002716,1
G011173,0
G004376,1
G013319,0
G008731,0
G007643,0
G001732,0
G010597,0
G012370,0
G004862,1
G001167,0
G001452,0
G010010,0
G011573,0
G012284,0
G010104,0
G006861,1
G001944,0
G003470,1
G005641,1
G012278,0
G001348,0
G003211,1
G007314,1
G007407,1
G001209,0
G005043,1
G000425,0
G000555,0
G001955,0
G008798,0
G012562,0
